投票时间,人员,单选
2024-08-05 21:42:09,"[{""id"": ""ou_4a72183c75520ae799ab01dd62ea29e7"", ""name"": ""小鱿鱼""}]",77
2024-08-05 21:42:19,"[{""id"": ""ou_bdec361d475b188b574cde7cea87b054"", ""name"": ""甘展诚""}]",75
2024-08-05 21:42:23,"[{""id"": ""ou_bdec361d475b188b574cde7cea87b054"", ""name"": ""甘展诚""}]",75
2024-08-05 21:42:24,"[{""id"": ""ou_4a72183c75520ae799ab01dd62ea29e7"", ""name"": ""小鱿鱼""}]",161
2024-08-05 21:42:26,"[{""id"": ""ou_4a72183c75520ae799ab01dd62ea29e7"", ""name"": ""小鱿鱼""}]",55
2024-08-05 21:42:28,"[{""id"": ""ou_4a72183c75520ae799ab01dd62ea29e7"", ""name"": ""小鱿鱼""}]",123
2024-08-05 21:42:29,"[{""id"": ""ou_4a72183c75520ae799ab01dd62ea29e7"", ""name"": ""小鱿鱼""}]",96
2024-08-05 21:42:35,"[{""id"": ""ou_e8ee6ace75aa497ad8044c48ebc07d6c"", ""name"": ""黄小珊""}]",77
2024-08-05 21:42:41,"[{""id"": ""ou_9b38b8ba801f83d3beb9e873a778b39e"", ""name"": ""老朱""}]",129
2024-08-05 21:42:46,"[{""id"": ""ou_4a72183c75520ae799ab01dd62ea29e7"", ""name"": ""小鱿鱼""}]",124
2024-08-05 21:42:47,"[{""id"": ""ou_853071a9657cc6e1846b2e46f823a53f"", ""name"": ""陈昶佳""}]",128
2024-08-05 21:42:48,"[{""id"": ""ou_bd3219faf6a9ca9780899b945d70460a"", ""name"": ""陈东""}]",78
2024-08-05 21:42:49,"[{""id"": ""ou_e8ee6ace75aa497ad8044c48ebc07d6c"", ""name"": ""黄小珊""}]",55
2024-08-05 21:42:52,"[{""id"": ""ou_bdec361d475b188b574cde7cea87b054"", ""name"": ""甘展诚""}]",174
2024-08-05 21:42:53,"[{""id"": ""ou_4a72183c75520ae799ab01dd62ea29e7"", ""name"": ""小鱿鱼""}]",11
2024-08-05 21:42:54,"[{""id"": ""ou_878a127bb6c5fa63a5e35124de558b3c"", ""name"": ""谭轶骅""}]",62
2024-08-05 21:42:57,"[{""id"": ""ou_8fbd27dbe7588b6475fa8d187a6301a8"", ""name"": ""limaomao""}]",
2024-08-05 21:42:57,"[{""id"": ""ou_bdec361d475b188b574cde7cea87b054"", ""name"": ""甘展诚""}]",91
2024-08-05 21:42:57,"[{""id"": ""ou_853071a9657cc6e1846b2e46f823a53f"", ""name"": ""陈昶佳""}]",159
2024-08-05 21:42:57,"[{""id"": ""ou_bd3219faf6a9ca9780899b945d70460a"", ""name"": ""陈东""}]",76
2024-08-05 21:42:58,"[{""id"": ""ou_94dee054f2a478c04072f2ce066b51bf"", ""name"": ""大雨""}]",24
2024-08-05 21:42:58,"[{""id"": ""ou_4a72183c75520ae799ab01dd62ea29e7"", ""name"": ""小鱿鱼""}]",88
2024-08-05 21:42:59,"[{""id"": ""ou_a6291e0bd70988c4188ad2e7fec4dd62"", ""name"": ""许键""}]",18
2024-08-05 21:42:59,"[{""id"": ""ou_a68633a163085ddb79ae2d9f8ea6e752"", ""name"": ""zgy""}]",62
2024-08-05 21:43:02,"[{""id"": ""ou_a6291e0bd70988c4188ad2e7fec4dd62"", ""name"": ""许键""}]",92
2024-08-05 21:43:08,"[{""id"": ""ou_bb6a09e82c1f77c71add0ff7a37ca5b9"", ""name"": ""飞书用户4390WE""}]",31
2024-08-05 21:43:09,"[{""id"": ""ou_bd3219faf6a9ca9780899b945d70460a"", ""name"": ""陈东""}]",64
2024-08-05 21:43:13,"[{""id"": ""ou_2259f16afe2f8603e67a5e2500fef576"", ""name"": ""鱼渔""}]",153
2024-08-05 21:43:14,"[{""id"": ""ou_bb6a09e82c1f77c71add0ff7a37ca5b9"", ""name"": ""飞书用户4390WE""}]",6
2024-08-05 21:43:14,"[{""id"": ""ou_853071a9657cc6e1846b2e46f823a53f"", ""name"": ""陈昶佳""}]",40
2024-08-05 21:43:15,"[{""id"": ""ou_e8ee6ace75aa497ad8044c48ebc07d6c"", ""name"": ""黄小珊""}]",88
2024-08-05 21:43:20,"[{""id"": ""ou_bb6a09e82c1f77c71add0ff7a37ca5b9"", ""name"": ""飞书用户4390WE""}]",22
2024-08-05 21:43:20,"[{""id"": ""ou_4a72183c75520ae799ab01dd62ea29e7"", ""name"": ""小鱿鱼""}]",56
2024-08-05 21:43:22,"[{""id"": ""ou_a6291e0bd70988c4188ad2e7fec4dd62"", ""name"": ""许键""}]",154
2024-08-05 21:43:23,"[{""id"": ""ou_5ff2e7d32434de1446f1b9da3c90622b"", ""name"": ""grace""}]",80
2024-08-05 21:43:24,"[{""id"": ""ou_0dd70ae91976bfa0bddc1cbccd6dd6be"", ""name"": ""陈靖""}]",154
2024-08-05 21:43:24,"[{""id"": ""ou_59b0d5e0326984753450cde5ff838803"", ""name"": ""Louise""}]",154
