投票时间,人员,单选
2024-08-01 21:41:49,"[{""id"": ""ou_20123d65af2410f0230086153c6ad176"", ""name"": ""贾栾""}]",100
2024-08-01 21:41:50,"[{""id"": ""ou_de8aaa94bd3451d75c4ccea37801f91b"", ""name"": ""飞书用户9349PQ""}]",43
2024-08-01 21:41:52,"[{""id"": ""ou_436e6104c646b4613226db48e6dc0582"", ""name"": ""Yoko""}]",15
2024-08-01 21:41:53,"[{""id"": ""ou_de8aaa94bd3451d75c4ccea37801f91b"", ""name"": ""飞书用户9349PQ""}]",98
2024-08-01 21:41:55,"[{""id"": ""ou_a4db96eb118cd38e4d74c3c446e3c7c1"", ""name"": ""熊猫""}]",119
2024-08-01 21:41:56,"[{""id"": ""ou_436e6104c646b4613226db48e6dc0582"", ""name"": ""Yoko""}]",97
2024-08-01 21:41:56,"[{""id"": ""ou_de8aaa94bd3451d75c4ccea37801f91b"", ""name"": ""飞书用户9349PQ""}]",27
2024-08-01 21:41:56,"[{""id"": ""ou_4a72183c75520ae799ab01dd62ea29e7"", ""name"": ""小鱿鱼""}]",153
2024-08-01 21:41:58,"[{""id"": ""ou_de8aaa94bd3451d75c4ccea37801f91b"", ""name"": ""飞书用户9349PQ""}]",79
2024-08-01 21:42:00,"[{""id"": ""ou_436e6104c646b4613226db48e6dc0582"", ""name"": ""Yoko""}]",10
2024-08-01 21:42:02,"[{""id"": ""ou_de8aaa94bd3451d75c4ccea37801f91b"", ""name"": ""飞书用户9349PQ""}]",153
2024-08-01 21:42:02,"[{""id"": ""ou_4428984a8cc3557bf9ccedfc901673c6"", ""name"": ""刘丽""}]",65
2024-08-01 21:42:04,"[{""id"": ""ou_a4db96eb118cd38e4d74c3c446e3c7c1"", ""name"": ""熊猫""}]",68
2024-08-01 21:42:06,"[{""id"": ""ou_4428984a8cc3557bf9ccedfc901673c6"", ""name"": ""刘丽""}]",100
2024-08-01 21:42:08,"[{""id"": ""ou_de8aaa94bd3451d75c4ccea37801f91b"", ""name"": ""飞书用户9349PQ""}]",144
2024-08-01 21:42:08,"[{""id"": ""ou_8c819c46a65b664068c9b265fda6d03c"", ""name"": ""SAMUEL""}]",
2024-08-01 21:42:08,"[{""id"": ""ou_4a72183c75520ae799ab01dd62ea29e7"", ""name"": ""小鱿鱼""}]",25
2024-08-01 21:42:08,"[{""id"": ""ou_20123d65af2410f0230086153c6ad176"", ""name"": ""贾栾""}]",51
2024-08-01 21:42:09,"[{""id"": ""ou_0dd70ae91976bfa0bddc1cbccd6dd6be"", ""name"": ""陈靖""}]",65
2024-08-01 21:42:11,"[{""id"": ""ou_de8aaa94bd3451d75c4ccea37801f91b"", ""name"": ""飞书用户9349PQ""}]",25
2024-08-01 21:42:14,"[{""id"": ""ou_de8aaa94bd3451d75c4ccea37801f91b"", ""name"": ""飞书用户9349PQ""}]",47
2024-08-01 21:42:16,"[{""id"": ""ou_85dd50adbfe1d9a8000c3b3604604eab"", ""name"": ""飞书用户2344IL""}]",28
2024-08-01 21:42:18,"[{""id"": ""ou_de8aaa94bd3451d75c4ccea37801f91b"", ""name"": ""飞书用户9349PQ""}]",120
